row_type,category,hash,name,name_en
category,突击步枪,,,
entry,突击步枪,"=""10845250369047350884""",AR-23 解放者（主武器，模型）,AR-23 Liberator (Model)
entry,突击步枪,"=""4885016034561106550""",AR-23P 穿甲解放者（主武器，模型）,AR-23P Liberator Penetrator (Model)
entry,突击步枪,"=""14942687850090605537""",AR-23C 震荡解放者（主武器，模型）,AR-23C Liberator Concussive (Model)
entry,突击步枪,"=""12100643055971655455""",AR-23A 卡宾解放者（主武器，模型）,AR-23A Liberator Carbine (Model)
entry,突击步枪,"=""13558475039457634667""",AR-32 安抚者（主武器，模型）,AR-32 Pacifier (Model)
entry,突击步枪,"=""8110598756017148880""",AR-59 消音器（主武器，模型）,AR-59 Suppressor (Model)
entry,突击步枪,"=""14845617694460717074""",AR-61 肉锤（主武器，模型）,AR-61 Tenderizer (Model)
entry,突击步枪,"=""9526594500243002157""",AR-2 野狼（主武器，模型）,AR-2 Coyote (Model)
entry,突击步枪,"=""12201875276601049603""",AR/GL-21 幺二（主武器，模型）,AR/GL-21 One-Two (Model)
entry,突击步枪,"=""6912088101323449320""",BR-14 审判者（主武器，模型）,BR-14 Adjudicator (Model)
entry,突击步枪,"=""14840077516977962372""",StA-52 突击步枪（主武器，模型）,StA-52 Assault Rifle (Model)
entry,突击步枪,"=""5601762105466289171""",MA5C 突击步枪（主武器，模型）,MA5C Assault Rifle (Model)
category,精确射手步枪,,,
entry,精确射手步枪,"=""281046277510948131""",R-63 勤勉（主武器，模型）,R-63 Diligence (Model)
entry,精确射手步枪,"=""5510267968365085927""",R-63 反狙击勤勉（主武器，模型）,R-63CS Diligence Counter Sniper (Model)
entry,精确射手步枪,"=""17308323378831780460""",R-72 审查官（主武器，模型）,R-72 Censor (Model)
entry,精确射手步枪,"=""8896268509512551590""",R-2124 宪法（主武器，模型）,R-2124 Constitution (Model)
entry,精确射手步枪,"=""1117846648694268261""",R-2 修正（主武器，模型）,R-2 Amendment (Model)
entry,精确射手步枪,"=""16634382492500136054""",R-6 鹰眼（主武器，模型）,R-6 Deadeye (Model)
entry,精确射手步枪,"=""16535356726426036192""",R-4 鬣狗（主武器，模型）,R-4 Hyena (Model)
category,冲锋枪,,,
entry,冲锋枪,"=""5641428405267160100""",SMG-37 防卫者（主武器，模型）,SMG-37 Defender (Model)
entry,冲锋枪,"=""578623101395158887""",SMG-72 暴击斗士（主武器，模型）,SMG-72 Pummeler (Model)
entry,冲锋枪,"=""9957594915860537321""",SMG/FLAM-34 司炉者（主武器，模型）,SMG/FLAM-34 Stoker (Model)
entry,冲锋枪,"=""10768610637301609307""",MP-98 骑士（主武器，模型）,MP-98 Knight (Model)
entry,冲锋枪,"=""1760530725124205338""",SMG-203 英勇无畏（主武器，模型）,SMG-203 Gallant (Model)
entry,冲锋枪,"=""10717884433990741653""",SMG-32 训斥（主武器，模型）,SMG-32 Reprimand (Model)
entry,冲锋枪,"=""5450511615252257986""",StA-11 冲锋枪（主武器，模型）,StA-11 SMG (Model)
entry,冲锋枪,"=""13722729806569931406""",M7S 冲锋枪（主武器，模型）,M7S SMG (Model)
category,霰弹枪,,,
entry,霰弹枪,"=""4749824949454633632""",SG-8 制裁者（主武器，模型）,SG-8 Punisher (Model)
entry,霰弹枪,"=""5725374950499373869""",SG-8S 重炮手（主武器，模型）,SG-8S Slugger (Model)
entry,霰弹枪,"=""15214248472323070124""",SG-451 野炊（主武器，模型）,SG-451 Cookout (Model)
entry,霰弹枪,"=""5634296840427219794""",SG-20 止息（主武器，模型）,SG-20 Halt (Model)
entry,霰弹枪,"=""5050852199397921576""",SG-225 破裂者（主武器，模型）,SG-225 Breaker (Model)
entry,霰弹枪,"=""6826025955225526457""",SG-225SP 千发百中破裂者（主武器，模型）,SG-225SP Breaker Spray&Pray (Model)
entry,霰弹枪,"=""13918995818598980231""",SG-225 IE高燃破裂者（主武器，模型）,SG-225IE Breaker Incendiary (Model)
entry,霰弹枪,"=""15911719089517557690""",SG-97 扫荡者（主武器，模型）,SG-97 Sweeper (Model)
entry,霰弹枪,"=""8221051007693717489""",DBS-2 双重自由（主武器，模型）,DBS-2 Double Freedom (Model)
entry,霰弹枪,"=""10438714418406872918""",M90A 霰弹枪（主武器，模型）,M90A Shotgun (Model)
category,炸弹,,,
entry,炸弹,"=""17623191861664038783""",CB-9 爆燃驽（主武器，模型）,CB-9 Exploding Crossbow (Model)
entry,炸弹,"=""13164006426448262783""",R-36 爆裂铳（主武器，模型）,R-36 Eruptor (Model)
category,能量武器,,,
entry,能量武器,"=""17196401230144941076""",PLAS-1 焦土（主武器，模型）,PLAS-1 Scorcher (Model)
entry,能量武器,"=""18102809172282470538""",PLAS-101 净化者（主武器，模型）,PLAS-101 Purifier (Model)
